ID	Driver	RelativePos	RelativeQuali
2000-Malaysian Grand Prix-BAR	Jacques Villeneuve	10	0.505
2000-Malaysian Grand Prix-BAR	Ricardo Zonta	-10	-0.505
2000-Malaysian Grand Prix-Benneton	Alexander Wurz	2	0.743
2000-Malaysian Grand Prix-Benneton	Giancarlo Fisichella	-2	-0.743
2000-Malaysian Grand Prix-Ferrari	Michael Schumacher	2	0.499
2000-Malaysian Grand Prix-Ferrari	Rubens Barrichello	-2	-0.499
2000-Malaysian Grand Prix-Jaguar	Eddie Irvine	8	0.635
2000-Malaysian Grand Prix-Jaguar	Johnny Herbert	-8	-0.635
2000-Malaysian Grand Prix-Jordan	Jarno Trulli	7	0.079
2000-Malaysian Grand Prix-Jordan	Heinz-Harald Frentzen	-7	-0.079
2000-Malaysian Grand Prix-McLaren	David Coulthard	2	-0.029
2000-Malaysian Grand Prix-McLaren	Mika Hakkinen	-2	0.029
2000-Malaysian Grand Prix-Minardi	Gaston Mazzacane	4	-1.416
2000-Malaysian Grand Prix-Minardi	Marc Gene	-4	1.416
2000-Malaysian Grand Prix-Prost	Jean Alesi	10	0.083
2000-Malaysian Grand Prix-Prost	Nick Heidfeld	-10	-0.083
2000-Malaysian Grand Prix-Sauber	Mika Salo	14	0.93
2000-Malaysian Grand Prix-Sauber	Pedro Diniz	-14	-0.93
2000-Malaysian Grand Prix-Williams	Ralf Schumacher	2	0.824
2000-Malaysian Grand Prix-Williams	Jenson Button	-2	-0.824
2000-Monaco Grand Prix-Arrows	Jos Verstappen	11	0.094
2000-Monaco Grand Prix-Arrows	Pedro de la Rosa	-11	-0.094
2000-Monaco Grand Prix-BAR	Jacques Villeneuve	6	0.476
2000-Monaco Grand Prix-BAR	Ricardo Zonta	-6	-0.476
2000-Monaco Grand Prix-Benneton	Giancarlo Fisichella	17	0.168
2000-Monaco Grand Prix-Benneton	Alexander Wurz	-17	-0.168
2000-Monaco Grand Prix-Ferrari	Rubens Barrichello	10	-0.941
2000-Monaco Grand Prix-Ferrari	Michael Schumacher	-10	0.941
2000-Monaco Grand Prix-Jaguar	Eddie Irvine	5	0.049
2000-Monaco Grand Prix-Jaguar	Johnny Herbert	-5	-0.049
2000-Monaco Grand Prix-Jordan	Heinz-Harald Frentzen	5	-0.215
2000-Monaco Grand Prix-Jordan	Jarno Trulli	-5	0.215
2000-Monaco Grand Prix-McLaren	David Coulthard	5	0.353
2000-Monaco Grand Prix-McLaren	Mika Hakkinen	-5	-0.353
2000-Monaco Grand Prix-Minardi	Gaston Mazzacane	1	-0.073
2000-Monaco Grand Prix-Minardi	Marc Gene	-1	0.073
2000-Monaco Grand Prix-Prost	Nick Heidfeld	9	-1.523
2000-Monaco Grand Prix-Prost	Jean Alesi	-9	1.523
2000-Monaco Grand Prix-Sauber	Mika Salo	11	0.575
2000-Monaco Grand Prix-Sauber	Pedro Diniz	-11	-0.575
2000-Monaco Grand Prix-Williams	Ralf Schumacher	7	0.863
2000-Monaco Grand Prix-Williams	Jenson Button	-7	-0.863
2000-San Marino Grand Prix-Arrows	Jos Verstappen	2	-0.496
2000-San Marino Grand Prix-Arrows	Pedro de la Rosa	-2	0.496
2000-San Marino Grand Prix-BAR	Jacques Villeneuve	7	0.69
2000-San Marino Grand Prix-BAR	Ricardo Zonta	-7	-0.69
2000-San Marino Grand Prix-Benneton	Alexander Wurz	2	0.972
2000-San Marino Grand Prix-Benneton	Giancarlo Fisichella	-2	-0.972
2000-San Marino Grand Prix-Ferrari	Michael Schumacher	3	0.437
2000-San Marino Grand Prix-Ferrari	Rubens Barrichello	-3	-0.437
2000-San Marino Grand Prix-Jaguar	Eddie Irvine	3	1.122
2000-San Marino Grand Prix-Jaguar	Johnny Herbert	-3	-1.122
2000-San Marino Grand Prix-Jordan	Jarno Trulli	7	-0.11
2000-San Marino Grand Prix-Jordan	Heinz-Harald Frentzen	-7	0.11
2000-San Marino Grand Prix-McLaren	Mika Hakkinen	1	0.3
2000-San Marino Grand Prix-McLaren	David Coulthard	-1	-0.3
2000-San Marino Grand Prix-Minardi	Gaston Mazzacane	8	0.102
2000-San Marino Grand Prix-Minardi	Marc Gene	-8	-0.102
2000-San Marino Grand Prix-Prost	Jean Alesi	1	1.537
2000-San Marino Grand Prix-Prost	Nick Heidfeld	-1	-1.537
2000-San Marino Grand Prix-Sauber	Mika Salo	2	-0.098
2000-San Marino Grand Prix-Sauber	Pedro Diniz	-2	0.098
2000-San Marino Grand Prix-Williams	Ralf Schumacher	3	1.264
2000-San Marino Grand Prix-Williams	Jenson Button	-3	-1.264
2000-Spanish Grand Prix-Arrows	Jos Verstappen	3	-1.447
2000-Spanish Grand Prix-Arrows	Pedro de la Rosa	-3	1.447
2000-Spanish Grand Prix-BAR	Ricardo Zonta	11	-0.919
2000-Spanish Grand Prix-BAR	Jacques Villeneuve	-11	0.919
2000-Spanish Grand Prix-Benneton	Giancarlo Fisichella	1	0.441
2000-Spanish Grand Prix-Benneton	Alexander Wurz	-1	-0.441
2000-Spanish Grand Prix-Ferrari	Rubens Barrichello	2	-0.442
2000-Spanish Grand Prix-Ferrari	Michael Schumacher	-2	0.442
2000-Spanish Grand Prix-Jaguar	Eddie Irvine	2	0.411
2000-Spanish Grand Prix-Jaguar	Johnny Herbert	-2	-0.411
2000-Spanish Grand Prix-Jordan	Heinz-Harald Frentzen	6	-0.129
2000-Spanish Grand Prix-Jordan	Jarno Trulli	-6	0.129
2000-Spanish Grand Prix-McLaren	Mika Hakkinen	1	0.37
2000-Spanish Grand Prix-McLaren	David Coulthard	-1	-0.37
2000-Spanish Grand Prix-Minardi	Marc Gene	1	0.771
2000-Spanish Grand Prix-Minardi	Gaston Mazzacane	-1	-0.771
2000-Spanish Grand Prix-Prost	Nick Heidfeld	4	-0.139
2000-Spanish Grand Prix-Prost	Jean Alesi	-4	0.139
2000-Spanish Grand Prix-Sauber	Mika Salo	15	0.398
2000-Spanish Grand Prix-Sauber	Pedro Diniz	-15	-0.398
2000-Spanish Grand Prix-Williams	Ralf Schumacher	13	0.78
2000-Spanish Grand Prix-Williams	Jenson Button	-13	-0.78
2000-United States Grand Prix-Arrows	Pedro de la Rosa	2	-0.335
2000-United States Grand Prix-Arrows	Jos Verstappen	-2	0.335
2000-United States Grand Prix-BAR	Jacques Villeneuve	2	0.467
