ID	Driver	RelativePos	Relative_CP
2012-Toro Rosso	Daniel Ricciardo	-1	-6.0
2012-Williams	Pastor Maldonado	1	14.0
2012-Williams	Bruno Senna	-1	-14.0
2013-Caterham	Charles Pic	2	0.0
2013-Caterham	Giedo van der Garde	-2	0.0
2013-Ferrari	Fernando Alonso	6	130.0
2013-Ferrari	Felipe Massa	-6	-130.0
2013-Force India	Paul di Resta	1	19.0
2013-Force India	Adrian Sutil	-1	-19.0
2013-Lotus	Kimi R<e4>ikk<f6>nen	2	51.0
2013-Lotus	Romain Grosjean	-2	-51.0
2013-Marussia	Jules Bianchi	4	0.0
2013-Marussia	Max Chilton	-4	0.0
2013-McLaren	Jenson Button	2	24.0
2013-McLaren	Sergio P<e9>rez	-2	-24.0
2013-Mercedes	Lewis Hamilton	2	18.0
2013-Mercedes	Nico Rosberg	-2	-18.0
2013-Red Bull	Sebastian Vettel	2	198.0
2013-Red Bull	Mark Webber	-2	-198.0
2013-Sauber	Nico H<fc>lkenberg	6	45.0
2013-Sauber	Esteban Guti<e9>rrez	-6	-45.0
2013-Toro Rosso	Daniel Ricciardo	1	7.0
2013-Toro Rosso	Jean-Eric Vergne	-1	-7.0
2013-Williams	Valtteri Bottas	1	3.0
2013-Williams	Pastor Maldonado	-1	-3.0
2014-Caterham	Marcus Ericsson	3	0.0
2014-Caterham	Kamui Kobayashi	-3	0.0
2014-Ferrari	Fernando Alonso	6	106.0
2014-Ferrari	Kimi R<e4>ikk<f6>nen	-6	-106.0
2014-Force India	Nico H<fc>lkenberg	1	37.0
2014-Force India	Sergio P<e9>rez	-1	-37.0
2014-Lotus	Romain Grosjean	2	6.0
2014-Lotus	Pastor Maldonado	-2	-6.0
2014-Marussia	Jules Bianchi	4	2.0
2014-Marussia	Max Chilton	-4	-2.0
2014-McLaren	Jenson Button	3	71.0
2014-McLaren	Kevin Magnussen	-3	-71.0
2014-Mercedes	Lewis Hamilton	1	67.0
2014-Mercedes	Nico Rosberg	-1	-67.0
2014-Red Bull	Daniel Ricciardo	2	71.0
2014-Red Bull	Sebastian Vettel	-2	-71.0
2014-Sauber	Adrian Sutil	2	0.0
2014-Sauber	Esteban Guti<e9>rrez	-2	0.0
2014-Toro Rosso	Jean-Eric Vergne	2	14.0
2014-Toro Rosso	Daniil Kvyat	-2	-14.0
2014-Williams	Valtteri Bottas	3	52.0
2014-Williams	Felipe Massa	-3	-52.0
2015-Ferrari	Sebastian Vettel	1	128.0
2015-Ferrari	Kimi R<e4>ikk<f6>nen	-1	-128.0
2015-Force India	Sergio P<e9>rez	1	20.0
2015-Force India	Nico H<fc>lkenberg	-1	-20.0
2015-Lotus	Romain Grosjean	3	24.0
2015-Lotus	Pastor Maldonado	-3	-24.0
2015-Manor	Roberto Merhi	1	0.0
2015-Manor	Alexander Rossi	-1	0.0
2015-McLaren	Jenson Button	1	5.0
2015-McLaren	Fernando Alonso	-1	-5.0
2015-Mercedes	Lewis Hamilton	1	59.0
2015-Mercedes	Nico Rosberg	-1	-59.0
2015-Red Bull	Daniil Kvyat	1	3.0
2015-Red Bull	Daniel Ricciardo	-1	-3.0
2015-Sauber	Felipe Nasr	5	18.0
2015-Sauber	Marcus Ericsson	-5	-18.0
2015-Toro Rosso	Max Verstappen	3	31.0
2015-Toro Rosso	Carlos Sainz	-3	-31.0
2015-Williams	Valtteri Bottas	1	15.0
2015-Williams	Felipe Massa	-1	-15.0
2016-Ferrari	Sebastian Vettel	2	26.0
2016-Ferrari	Kimi R<e4>ikk<f6>nen	-2	-26.0
2016-Force India	Sergio P<e9>rez	2	29.0
2016-Force India	Nico H<fc>lkenberg	-2	-29.0
2016-Haas	Romain Grosjean	8	29.0
2016-Haas	Esteban Guti<e9>rrez	-8	-29.0
2016-Manor	Pascal Wehrlein	5	1.0
2016-Manor	Rio Haryanto	-5	-1.0
2016-McLaren	Fernando Alonso	5	33.0
2016-McLaren	Jenson Button	-5	-33.0
2016-Mercedes	Nico Rosberg	1	5.0
2016-Mercedes	Lewis Hamilton	-1	-5.0
2016-Red Bull	Daniel Ricciardo	11	231.0
2016-Red Bull	Daniil Kvyat	-11	-231.0
2016-Renault	Kevin Magnussen	2	6.0
2016-Renault	Jolyon Palmer	-2	-6.0
2016-Sauber	Felipe Nasr	5	2.0
2016-Sauber	Marcus Ericsson	-5	-2.0
2016-Toro Rosso	Max Verstappen	7	158.0
2016-Toro Rosso	Carlos Sainz	-7	-158.0
2016-Williams	Valtteri Bottas	3	32.0
2016-Williams	Felipe Massa	-3	-32.0
2017-Ferrari	Sebastian Vettel	2	112.0
2017-Ferrari	Kimi R<e4>ikk<f6>nen	-2	-112.0
2017-Force India	Sergio P<e9>rez	1	13.0
2017-Force India	Esteban Ocon	-1	-13.0
2017-Haas	Romain Grosjean	1	9.0
2017-Haas	Kevin Magnussen	-1	-9.0
2017-McLaren	Fernando Alonso	1	4.0
2017-McLaren	Stoffel Vandoorne	-1	-4.0
2017-Mercedes	Lewis Hamilton	2	58.0
2017-Mercedes	Valtteri Bottas	-2	-58.0
2017-Red Bull	Daniel Ricciardo	1	32.0
2017-Red Bull	Max Verstappen	-1	-32.0
2017-Renault	Nico H<fc>lkenberg	7	35.0
2017-Renault	Jolyon Palmer	-7	-35.0
