ID	Driver1	Driver2	PosDriver1	PosDriver2	QualiDriver1	QualiDriver2
2001-Canadian Grand Prix-Prost	Jean Alesi	Luciano Burti	3	-3	0.575	-0.575
2001-Canadian Grand Prix-Sauber	Kimi R<e4>ikk<f6>nen	Nick Heidfeld	16	-16	0.29	-0.29
2001-Canadian Grand Prix-Williams	Ralf Schumacher	Juan Pablo Montoya	15	-15	0.826	-0.826
2001-European Grand Prix-Arrows	Jos Verstappen	Enrique Bernoldi	4	-4	-0.111	0.111
2001-European Grand Prix-BAR	Jacques Villeneuve	Olivier Panis	12	-12	0.433	-0.433
2001-European Grand Prix-Benneton	Giancarlo Fisichella	Jenson Button	2	-2	1.248	-1.248
2001-European Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	4	-4	0.662	-0.662
2001-European Grand Prix-Jaguar	Eddie Irvine	Pedro de la Rosa	1	-1	1.039	-1.039
2001-European Grand Prix-Jordan	Heinz-Harald Frentzen	Jarno Trulli	1	-1	-0.238	0.238
2001-European Grand Prix-McLaren	David Coulthard	Mika Hakkinen	3	-3	0.059	-0.059
2001-European Grand Prix-Minardi	Fernando Alonso	Tarso Marques	8	-8	0.059	-0.059
2001-European Grand Prix-Prost	Luciano Burti	Jean Alesi	3	-3	-0.862	0.862
2001-European Grand Prix-Sauber	Kimi R<e4>ikk<f6>nen	Nick Heidfeld	7	-7	0.036	-0.036
2001-European Grand Prix-Williams	Juan Pablo Montoya	Ralf Schumacher	2	-2	-0.264	0.264
2001-French Grand Prix-Arrows	Jos Verstappen	Enrique Bernoldi	7	-7	0.121	-0.121
2001-French Grand Prix-BAR	Olivier Panis	Jacques Villeneuve	12	-12	-0.085	0.085
2001-French Grand Prix-Benneton	Giancarlo Fisichella	Jenson Button	5	-5	0.2	-0.2
2001-French Grand Prix-Ferrari	Michael Schumacher	Rubens Barrichello	2	-2	0.868	-0.868
